DATUM VON;DATUM BIS;PRODUKTNAME;LEISTUNGSPREIS [EUR/MW];ARBEITSPREIS [EUR/MWh];AP_ZAHLUNGSRICHTUNG;ANGEBOTENE_LEISTUNG [MW];BEZUSCHLAGTE_LEISTUNG [MW];ANGEBOTE_AUS_AT
15.01.2018;21.01.2018;NEG_HT;0,75;98;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_HT;0,8;850;Netz an Anbieter;40;40;;
15.01.2018;21.01.2018;NEG_HT;0,8;1,2;Netz an Anbieter;50;50;;
15.01.2018;21.01.2018;NEG_HT;0,81;639,89;Netz an Anbieter;20;20;;
15.01.2018;21.01.2018;NEG_HT;0,88;74,71;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_HT;0,9;742,1;Netz an Anbieter;8;8;;
15.01.2018;21.01.2018;NEG_HT;0,9;842,1;Netz an Anbieter;9;9;;
15.01.2018;21.01.2018;NEG_HT;0,9;23,1;Netz an Anbieter;9;9;;
15.01.2018;21.01.2018;NEG_HT;0,9;92,1;Netz an Anbieter;9;9;;
15.01.2018;21.01.2018;NEG_HT;0,9;192,1;Netz an Anbieter;9;9;;
15.01.2018;21.01.2018;NEG_HT;0,94;83,75;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_HT;0,99;987;Netz an Anbieter;15;15;;
15.01.2018;21.01.2018;NEG_HT;1;995,71;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_HT;1;934,72;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_HT;1;900;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;1,05;385;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;1,09;987;Netz an Anbieter;15;15;;
15.01.2018;21.01.2018;NEG_HT;1,1;127,1;Netz an Anbieter;50;50;;
15.01.2018;21.01.2018;NEG_HT;1,19;987;Netz an Anbieter;7;7;;
15.01.2018;21.01.2018;NEG_HT;1,2;1776,87;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;1,26;1671,67;Netz an Anbieter;6;6;;
15.01.2018;21.01.2018;NEG_HT;1,33;987;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_HT;1,36;625;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;1,4;271;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_HT;1,4;5397,5;Netz an Anbieter;50;50;;
15.01.2018;21.01.2018;NEG_HT;1,45;180;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_HT;1,45;987;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_HT;1,57;987;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_HT;1,6;284;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;1,68;950;Netz an Anbieter;5;5;;
15.01.2018;21.01.2018;NEG_HT;1,7;294;Netz an Anbieter;10;10;;
15.01.2018;21.01.2018;NEG_HT;1,7;987;Netz an Anbieter;10;10;;
